ApplicationID,StageName,ReviewedDate,ReviewedBy,ActionTaken
1,Final Approval,2025-06-26,Jayantha Bandara,Hold
1,Visa Processing,2024-07-01,Prabha Yogarajah,Hold
1,Interview,2025-05-18,Hemantha Edirisinghe,Hold
2,Medical Check,2025-08-12,Ruwan Ratnayake,Approved
3,Visa Processing,2025-06-24,Chamara Ranaweera,Approved
4,Medical Check,2025-06-01,Priyantha Ilangakoon,Rejected
5,Initial Review,2025-05-16,Nalaka Amarasinghe,Rejected
5,Final Approval,2024-08-25,Nimal Ibrahim,Approved
6,Visa Processing,2025-06-16,Roshini Peiris,Approved
6,Final Approval,2025-01-26,Chamara Jayaweera,Approved
7,Final Approval,2024-05-13,Yasara Jayaweera,Approved
7,Visa Processing,2024-07-09,Bhagya Ilangakoon,Pending
7,Medical Check,2024-11-17,Madhavi Thangavelu,Pending
8,Initial Review,2024-10-04,Akila Lokuhetti,Hold
9,Initial Review,2025-06-27,Nuwan Quintus,Pending
9,Visa Processing,2025-07-17,Dilshan Jayaweera,Approved
10,Visa Processing,2024-10-25,Rohan Weerasinghe,Pending
11,Visa Processing,2025-06-16,Ibrahim Herath,Approved
12,Final Approval,2025-05-09,Rashmi Jayawardena,Pending
12,Initial Review,2024-01-02,Nishani Nadarajah,Pending
13,Initial Review,2024-08-25,Priyantha Yapa,Approved
14,Final Approval,2025-08-11,Achini Udayanga,Approved
14,Visa Processing,2025-08-11,Ishani Yogarajah,Pending
14,Medical Check,2025-08-16,Thushari Kodithuwakku,Rejected
15,Interview,2024-06-21,Lalith Sivapragasam,Pending
15,Final Approval,2025-04-18,Isuru Lokuhetti,Approved
16,Visa Processing,2025-01-02,Eshini Jaleel,Approved
16,Initial Review,2025-01-19,Sashika Ilangakoon,Approved
16,Medical Check,2024-09-15,Inoka Basnayake,Approved
17,Interview,2025-07-04,Harsha Yapa,Approved
17,Medical Check,2025-07-21,Indika Hewage,Hold
18,Interview,2025-07-05,Eshini Weerakoon,Pending
18,Initial Review,2025-07-30,Mohamed Udayanga,Hold
19,Final Approval,2025-04-11,Upul Hettiarachchi,Approved
19,Interview,2025-08-08,Indrani Cooray,Rejected
20,Initial Review,2025-08-18,Eshika Nanayakkara,Pending
20,Medical Check,2025-06-09,Indika Abeysinghe,Approved
20,Interview,2025-08-03,Achini Pathirana,Pending
21,Interview,2025-05-24,Deepthi Liyanage,Pending
21,Initial Review,2023-12-05,Chamara Quintus,Rejected
22,Medical Check,2025-02-18,Yasara Thilakarathna,Pending
22,Visa Processing,2025-01-23,Upeksha Ilangakoon,Approved
23,Visa Processing,2025-07-27,Nirosha Dharmasena,Approved
24,Final Approval,2025-06-10,Pradeep Jayaweera,Pending
24,Medical Check,2025-07-23,Dilshan Karunaratne,Approved
24,Initial Review,2025-05-27,Mahinda Galappaththi,Pending
25,Initial Review,2025-08-03,Inoka Chandrasekara,Approved
26,Visa Processing,2025-01-16,Dayan Obeysekera,Rejected
27,Visa Processing,2025-07-10,Vimukthi Herath,Rejected
27,Initial Review,2025-06-25,Fathima Galappaththi,Pending
28,Visa Processing,2025-06-14,Gayan Weerasinghe,Rejected
29,Final Approval,2025-05-17,Fathima Pathirana,Rejected
29,Initial Review,2024-09-28,Anjali Zuhair,Approved
30,Visa Processing,2025-07-03,Udeshika Basnayake,Approved
30,Medical Check,2025-04-24,Rohan Ibrahim,Pending
31,Medical Check,2025-01-08,Sana Ilangakoon,Rejected
32,Initial Review,2025-08-15,Vimukthi Yapa,Hold
33,Interview,2025-08-18,Ranjith Liyanage,Hold
34,Final Approval,2025-04-02,Tharaka Herath,Pending
34,Interview,2025-06-21,Rashmi Zoysa,Rejected
34,Medical Check,2025-08-09,Sunil Samarasinghe,Pending
35,Visa Processing,2024-03-18,Yashodha Herath,Approved
36,Final Approval,2025-04-20,Vijitha Rajapaksa,Pending
37,Initial Review,2025-01-29,Tharushi Uthayakumar,Rejected
38,Medical Check,2025-05-03,Chandana Senanayake,Approved
38,Final Approval,2024-08-09,Oshadi Weerakoon,Approved
39,Visa Processing,2024-09-22,Thushari Ekanayake,Pending
39,Final Approval,2024-10-03,Anjali Guneratne,Hold
40,Interview,2025-07-16,Wasanthi Ratnayake,Hold
40,Visa Processing,2025-07-06,Suranga Pathirana,Rejected
40,Medical Check,2025-07-12,Nalaka Vigneswaran,Hold
41,Interview,2024-05-16,Dinesh Opatha,Rejected
41,Visa Processing,2025-08-17,Dilani Zoysa,Rejected
42,Medical Check,2025-04-21,Tharaka Chandrasekara,Hold
