PersonalID,Title,FullName,Gender,DateOfBirth,District,DSDivision,Address,MobileNumber,CivilStatus,NICNumber,PassportNumber,Email
7001,Mr.,Sunil Abeysinghe,Male,1982-08-27,Mullaitivu,Manthai East,"594 School Lane, Manthai East, Mullaitivu",0727824473,Married,613152544V,N1686979,
7002,Mr.,Yohan Perera,Male,2006-06-29,Batticaloa,Koralai Pattu,"445 High Street, Koralai Pattu, Batticaloa",0766950412,Single,609992575V,N4694826,
7003,Mr.,Indika Xavier,Male,1990-11-02,Kurunegala,Galgamuwa,"666 High Street, Galgamuwa, Kurunegala",0728426462,Single,541120414V,N6553810,indika.xavier@hotmail.com
7004,Mrs.,Nadeesha Quintus,Female,2006-07-19,Polonnaruwa,Dimbulagala,"861 Park Lane, Dimbulagala, Polonnaruwa",0785743965,Married,805771513V,N4710396,
7005,Ms.,Prabha Rajapaksa,Female,1983-06-07,Batticaloa,Koralai Pattu West,"370 Main Road, Koralai Pattu West, Batticaloa",0787062730,Married,924733606V,N3336168,prabha.rajapaksa@hotmail.com
7006,Ms.,Yasara Karunaratne,Female,1997-05-09,Galle,Neluwa,"485 Main Road, Neluwa, Galle",0796106548,Single,946845844V,N6451202,
7007,Mr.,Lahiru Jayaweera,Male,1994-09-01,Polonnaruwa,Elahera,"33 School Lane, Elahera, Polonnaruwa",0723930241,Married,735450206V,N9208284,lahiru.jayaweera@yahoo.com
7008,Miss,Ishani Xavier,Female,1993-01-22,Jaffna,Island South,"704 Beach Road, Island South, Jaffna",0723080036,Single,582554770V,N8022508,ishani.xavier@yahoo.com
7009,Miss,Ruwini Zoysa,Female,2003-02-17,Gampaha,Minuwangoda,"189 Kandy Road, Minuwangoda, Gampaha",0710709651,Divorced,753573665V,N5860693,ruwini.zoysa@slnet.lk
7010,Mr.,Chandana Uthayakumar,Male,2004-04-23,Mullaitivu,Thunukkai,"925 Colombo Street, Thunukkai, Mullaitivu",0762937739,Divorced,561628072V,N4881669,
7011,Mr.,Asanga Zuhair,Male,2006-01-17,Matara,Welipitiya,"878 School Lane, Welipitiya, Matara",0793326559,Married,600563990V,N7375639,
7012,Mr.,Ibrahim Edirisinghe,Male,2007-03-07,Kegalle,Galigamuwa,"75 Park Lane, Galigamuwa, Kegalle",0720241385,Single,945468669V,N7488461,ibrahim.edirisinghe@slnet.lk
7013,Mr.,Kapila Rajapaksa,Male,1987-10-01,Kandy,Udapalatha,"273 School Lane, Udapalatha, Kandy",0720355953,Single,899588008V,N8261783,kapila.rajapaksa@yahoo.com
