WorkflowID,JobID,StageName,ActionTaken,Remarks,ReviewedBy,ReviewedDate
1,1,Initial Review,Approved,Training provided,Mark Landry,2025-07-16
2,2,Embassy Review,Rejected,Standard contract,Megan Hughes,2025-03-26
3,3,Embassy Review,Rejected,Training provided,Casey Payne,2025-07-29
4,3,SLBFE Review,Rejected,Probation period,Jordan Mcpherson,2025-08-13
5,4,Final Approval,Rejected,Training provided,Sarah Thompson,2024-08-04
6,5,Embassy Review,Rejected,Standard contract,David Morales,2025-05-10
7,6,Embassy Review,Pending,Standard contract,Shelby Miller,2025-01-04
8,7,SLBFE Review,Pending,,Ryan Johnson,2025-08-24
9,7,Initial Review,Approved,Training provided,Gary Moore,2025-06-04
10,8,Embassy Review,Approved,Training provided,Vincent Ray,2025-04-09
11,9,Final Approval,Pending,Standard contract,James Beck,2024-11-07
12,9,Initial Review,Approved,,Angela Morgan,2025-07-03
13,9,SLBFE Review,Pending,Probation period,Cynthia Perez,2024-08-14
14,10,Initial Review,Rejected,Training provided,Brian Day,2025-03-02
15,11,Final Approval,Rejected,Probation period,Matthew Guzman,2025-06-16
16,11,Initial Review,Rejected,Standard contract,Gail Gonzalez,2025-05-29
17,11,Embassy Review,Pending,Standard contract,Andrea Johnson,2025-05-08
18,12,Initial Review,Approved,Training provided,Jason Tran,2024-08-28
19,12,Embassy Review,Rejected,Training provided,Aaron Myers,2025-05-23
20,12,Final Approval,Approved,,Rebekah Castro,2024-06-03
21,13,SLBFE Review,Pending,,Gina Lee,2024-02-17
22,13,Initial Review,Pending,Standard contract,Rebecca Thornton,2024-01-29
23,13,Embassy Review,Approved,,Rachel Nguyen,2025-01-13
24,14,Initial Review,Pending,Training provided,Denise Hinton,2024-11-06
25,14,SLBFE Review,Approved,Training provided,Heather Miller,2025-04-12
26,15,SLBFE Review,Rejected,Probation period,Natasha Francis,2024-09-14
27,16,Initial Review,Approved,Probation period,Alicia Phillips,2025-05-29
28,16,SLBFE Review,Pending,Standard contract,Michael Olson,2025-07-25
29,17,Final Approval,Approved,,Katherine White,2025-07-30
30,17,Embassy Review,Pending,Probation period,Haley Yu,2024-12-21
31,17,Initial Review,Approved,Probation period,Michael Brown,2025-01-25
32,18,Embassy Review,Pending,Requires visa,Melissa Hill,2025-08-21
33,18,SLBFE Review,Rejected,,Patricia Barron,2025-08-04
34,18,Initial Review,Rejected,,Randy Cruz,2025-06-22
35,19,SLBFE Review,Approved,Training provided,Erica Paul,2025-08-11
36,19,Final Approval,Pending,Training provided,Kathleen Potter,2025-08-06
37,19,Embassy Review,Approved,Probation period,Jessica King,2025-08-27
38,20,Final Approval,Rejected,Probation period,Garrett Williams,2025-04-09
39,20,Initial Review,Approved,Probation period,Courtney Jones,2025-02-22
40,21,SLBFE Review,Approved,,Christopher Reyes,2023-12-22
41,21,Embassy Review,Approved,Standard contract,Ann Fitzgerald,2024-12-05
42,21,Initial Review,Approved,,Robert Hall,2024-02-01
43,22,SLBFE Review,Pending,Standard contract,Karen Walker,2025-05-08
44,22,Final Approval,Approved,Probation period,David Graham,2025-08-18
45,22,Initial Review,Pending,,Billy Gonzalez,2025-06-01
46,23,Final Approval,Rejected,,Rebecca Cohen,2025-08-16
47,24,SLBFE Review,Approved,Standard contract,Sara Torres,2024-08-19
48,25,Embassy Review,Rejected,Standard contract,Vickie Fritz,2025-05-25
49,25,Final Approval,Approved,Standard contract,Susan Garrison,2025-04-07
50,25,SLBFE Review,Rejected,,Ashley Vasquez,2025-08-23
51,26,Initial Review,Pending,Probation period,Jesse Atkinson,2025-05-29
52,26,Embassy Review,Rejected,Training provided,Wayne Brooks,2025-01-07
53,27,Final Approval,Pending,Training provided,Brandon Montgomery,2025-05-14
54,27,Initial Review,Approved,,Misty Clark,2025-02-25
55,28,Final Approval,Rejected,Probation period,Brendan Holt,2024-11-04
56,29,Embassy Review,Rejected,Probation period,Kathy Braun,2025-05-28
57,29,SLBFE Review,Rejected,,Benjamin Mcmahon,2025-05-02
